"","Latitude","Longitude","ml","Bearing"
"416",38.24,31.79,1.3,0.410927885481608
"417",38.63,43.33,1.1,4.88289564380022
"418",41.54,33.29,1.5,3.42847556187391
"419",41.17,33.25,1.1,3.47282550624803
"420",37.11,35.7,1.7,5.50891592381649
"421",41.2,33.4,1.4,3.52995421278789
"422",38.4,44.2,1,4.90396596667848
"423",40.89,33.47,1.1,3.64198905989284
"424",39.22,26.58,1.1,1.46229499793974
"425",39.48,26.56,2.3,1.51815328471368
"426",41.11,34.87,1.3,4.01321198773387
"427",35.37,26.4,1.2,0.829491572574117
"428",35.84,27.07,1.4,0.832758490587723
"429",35.87,27.1,1.3,0.834075623393297
"430",35.91,42.55,1.6,5.19642383704241
"431",38.97,29.87,1.3,1.27466624697282
"432",38.79,29.31,1.7,1.25220901541693
"433",36.23,27.25,1.3,0.870041707114502
"434",40.84,31.12,1.3,2.42483945695433
"435",41,32.3,1.2,3.01240501705445
"436",40.74,31.44,1,2.5104322166341
"437",41.4,32.7,1.2,3.20916086068869
"438",40.7871,31.8723,2.7,2.73951525928704
"439",36.42,27.67,1.4,0.859741689034706
"440",36.4,27.4,1,0.881612062293106
"441",41.05,33.72,2.7,3.69628946229827
"442",36.55,28.36,1.3,0.808193281847723
"443",36.81,28.84,1.1,0.793837436513464
"444",36.45,27.94,1.6,0.837692788487906
"445",40.84,30.73,1.3,2.30165127239401
"446",40.85,30.51,2.2,2.24756354091901
"447",36.55,27.26,1.2,0.916491882221206
"448",40.87,36.47,2.5,4.32731355790639
"449",40.76,34.83,1.6,4.12999755200119
"450",41.04,34.88,1.3,4.03854190721291
"451",40.82,34.44,1.3,4.01407676616663
"452",39.55,28.58,1.8,1.5422597866716
"453",39.46,27.79,1.3,1.51454010818053
"454",39.1,27.8,1.7,1.41764311473466
"455",39.27,28.19,1.3,1.45804317437865
"456",35.48,26.94,1.5,0.799358769392958
"457",40.8,27.8,1.4,1.87016232077869
"458",38.84,27.74,1.3,1.35138142615963
"459",35,28,1.2,0.64729056437809
"460",37.13,28.06,2.1,0.941717886898106
"461",39.74,39.43,1.6,4.71891648172349
